Metro,Area,L1_yr,L2_yr,L3_yr,L4_yr
"Cleveland, OH",17410,72883.2,92206.4,111508.8,130832.0
"Indianapolis-Carmel-Greenwood, IN",26900,77896.0,95201.6,112507.20000000001,129812.79999999999
"Kansas City, MO-KS",28140,76086.4,95700.8,115336.0,134950.4
"Milwaukee-Waukesha, WI",33340,79040.0,96491.2,113921.6,131372.8
"St. Louis, MO-IL",41180,76044.8,97385.6,118705.6,140046.4
"Madison, WI",31540,81702.40000000001,98092.79999999999,114504.0,130894.4
"Pittsburgh, PA",38300,76918.4,98196.8,119475.2,140753.6
"Orlando-Kissimmee-Sanford, FL",36740,77251.2,99195.2,121118.4,143062.4
"Cincinnati, OH-KY-IN",17140,81307.20000000001,100547.20000000001,119787.20000000001,139027.2
"Tampa-St. Petersburg-Clearwater, FL",45300,78374.4,100796.8,123219.2,145641.6
"Columbus, OH",18140,82846.4,101899.2,120972.79999999999,140025.59999999998
"Detroit-Warren-Dearborn, MI",19820,84052.79999999999,102190.40000000001,120348.8,138486.4
"Jacksonville, FL",27260,76377.59999999999,102752.0,129147.20000000001,155521.6
"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,84531.2,103334.4,122116.8,140920.0
"Houston-Pasadena-The Woodlands, TX",26420,84094.4,105976.0,127836.8,149718.4
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,87360.0,106579.2,125798.4,145017.6
"San Antonio-New Braunfels, TX",41700,85446.4,106579.2,127732.79999999999,148865.59999999998
"Chicago-Naperville-Elgin, IL-IN",16980,85467.20000000001,108076.8,130707.20000000001,153316.8
"Atlanta-Sandy Springs-Roswell, GA",12060,87859.2,109283.2,130707.20000000001,152131.2
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,88088.0,109844.8,131601.6,153358.4
"Las Vegas-Henderson-North Las Vegas, NV",29820,84489.59999999999,110801.6,137092.8,163404.80000000002
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,83657.59999999999,110947.20000000001,138257.6,165547.2
"Phoenix-Mesa-Chandler, AZ",38060,87651.2,111072.0,134513.6,157934.40000000002
"Charlotte-Concord-Gastonia, NC-SC",16740,91291.2,112424.0,133536.0,154668.8
"Dallas-Fort Worth-Arlington, TX",19100,90896.0,112923.2,134971.2,156998.4
"Raleigh-Cary, NC",39580,91707.20000000001,113547.20000000001,135408.0,157248.0
"Austin-Round Rock-San Marcos, TX",12420,90355.2,114753.6,139152.0,163550.4
"Riverside-San Bernardino-Ontario, CA",40140,91353.6,115980.8,140587.2,165214.40000000002
"Denver-Aurora-Centennial, CO",19740,98737.59999999999,120536.0,142313.6,164112.0
"Baltimore-Columbia-Towson, MD",12580,92955.2,122012.79999999999,151091.2,180148.8
"Sacramento-Roseville-Folsom, CA",40900,100089.59999999999,124592.0,149115.19999999998,173617.6
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,101420.8,126089.59999999999,150758.4,175427.2
"Portland-Vancouver-Hillsboro, OR-WA",38900,102897.59999999999,127878.4,152880.0,177860.80000000002
"Los Angeles-Long Beach-Anaheim, CA",31080,102232.0,129667.20000000001,157123.2,184558.4
"San Diego-Chula Vista-Carlsbad, CA",41740,102793.6,130187.20000000001,157580.80000000002,184974.40000000002
"Boston-Cambridge-Newton, MA-NH",14460,107556.8,131081.6,154606.4,178131.2
"New York-Newark-Jersey City, NY-NJ",35620,103209.59999999999,131996.8,160804.80000000002,189592.0
"Seattle-Tacoma-Bellevue, WA",42660,117748.8,149240.0,180710.4,212201.6
"San Francisco-Oakland-Fremont, CA",41860,135699.19999999998,161636.8,187574.40000000002,213512.0
"San Jose-Sunnyvale-Santa Clara, CA",41940,149364.80000000002,187740.80000000002,226137.6,264513.6
